global_id,mfi-auc-1,mfi-auc-2,mfi-auc-3,foldexp-auc-1,foldexp-auc-2,foldexp-auc-3
scFv,27.83411209,25.95840722,27.49407567,33.64144811,22.78752994,20.53821343
Control,8.016794083,8.004715984,7.774143221,4.553565454,3.753609984,3.85787627
1304,5.302741515,5.236570149,5.23164353,4.677853703,4.253810471,4.360035795
1506,16.48446706,17.77618968,17.30707714,10.99905831,10.9940361,10.30410743
1892,5.61673881,3.735297834,5.603958318,5.202943621,4.092836913,3.663101789
2383,14.42445735,15.12044537,14.38646709,6.74640523,6.978545434,6.914897868
3109,4.641668343,5.011708812,4.970977011,4.099808926,4.069808663,3.755673495
3494,21.90015905,23.26643096,22.69079151,10.45787333,10.77548124,10.04606329
3718,23.11088338,22.78134107,23.13177295,10.8638105,11.29945875,9.379732713
5300,24.0394693,25.07702529,24.00874172,9.203435831,8.310936473,8.547752665
5624,11.70668922,11.81059525,11.2541287,5.123931436,5.192443446,4.828101003
5981,22.31149239,20.84166889,22.71233224,10.68969611,8.709447006,10.14846698