global_id,K562-GFP-1,K562-GFP-2,K562-GFP-3,Raji-GFP-1,Raji-GFP-2,Raji-GFP-3,K562-avg,K562-stderr,Raji-avg,Raji-stderr,diff-avg,diff-stderr
scFv,200.525,185.775,188.17,271.465,269.24,266.475,191.49,7.91564432,269.06,2.499864996,77.57,4.792589766
Control,115.71,125.515,113.675,121.515,125.68,116.925,118.3,6.330677294,121.3733333,4.379218918,3.073333333,4.444285969
1304,115.8,118.445,124.69,44.61,61.12,77.54,119.645,4.564868563,61.09,16.4650205,-58.555,9.864666323
1506,223.46,225.37,234.04,280.845,280.75,279.845,227.6233333,5.638460192,280.48,0.551973731,52.85666667,3.270927918
1892,118.145,120.845,115.145,66.915,79.585,73.905,118.045,2.851315486,73.46833333,6.346277124,-44.57666667,4.016849235
2383,212.76,215.415,215.975,259.57,261.05,262.2,214.7166667,1.717500607,260.94,1.318446055,46.22333333,1.250081108
3109,157.51,158.155,157.89,56.49,52.41,67.295,157.8516667,0.324204154,58.73166667,7.691528348,-99.12,4.444649093
3494,266.455,266.495,269.305,284.635,285.355,285.93,267.4183333,1.634023664,285.3066667,0.64885155,17.88833333,1.015060206
3718,255.09,257.525,250.02,278.85,279,274.805,254.2116667,3.828819444,277.5516667,2.379865192,23.34,2.602794438
5300,259.16,261.795,261.17,269.785,274.81,272.49,260.7083333,1.376829086,272.3616667,2.514956925,11.65333333,1.655361659
5624,207.57,210.685,211.35,197.43,197.02,195.555,209.8683333,2.017996118,196.6683333,0.985727312,-13.2,1.296658098
5981,280.935,280.32,280.38,286.385,284.145,283.9,280.545,0.339079637,284.81,1.369479828,4.265,0.814544863