global_id,E:T=(X:1),K562-GFP-1,K562-GFP-2,K562-GFP-3,Raji-GFP-1,Raji-GFP-2,Raji-GFP-3
scFv,1,45.8,45.71,35.45,81.89,79.46,81.33
scFv,2,65.67,59.46,60.17,91.9,91.06,89.38
scFv,4,79.12,73.73,80.19,92.67,92.92,91.74
Control,1,9.95,17.13,15.23,21.59,25.17,23.98
Control,2,32.31,35.78,28.72,39.38,36.57,32.51
Control,4,62.27,63.28,62.98,51.65,58.24,56.17
1304,1,14.25,15.41,16.43,7.77,0.09,9.13
1304,2,30.43,31.64,34.21,17.91,14.33,19.17
1304,4,63.03,63.28,65.16,13.86,39.58,44.22
1506,1,52.17,50.97,53.56,88.53,89.47,88.33
1506,2,76.13,74.57,78.08,93.76,93.75,93.72
1506,4,83.18,88.03,90.14,95.94,95.39,95.1
1892,1,18.46,21.44,13.9,9.53,8.05,1.69
1892,2,38.19,35.21,32.71,24.18,24.1,19.36
1892,4,51.63,57.31,59.13,25.88,39.41,44.02
2383,1,39.13,42.51,43.35,68.57,69.31,72.91
2383,2,70.23,71.04,71.94,88.53,89.69,89.21
2383,4,87.85,87.6,86.39,92.49,91.86,91.93
3109,1,24.51,24.87,24.79,0,2,0.59
3109,2,47.53,47.84,46.73,16.48,8.52,16.64
3109,4,73.96,73.96,75.4,31.77,38.63,42.04
3494,1,74.43,76.56,78.52,92.83,93.22,92.8
3494,2,91.34,90.55,92.21,94.5,95.05,95.66
3494,4,92.23,92.39,91.73,96.47,96.17,96.04
3718,1,65.61,66.79,66.09,89.94,88.13,85.67
3718,2,86.55,87.4,85.85,92.52,93.07,91.38
3718,4,92.46,93.03,88.2,95.1,95.33,94.9
5300,1,62.67,65.2,69.26,86.13,87.12,83.69
5300,2,89.89,90.29,88.42,89.1,91.54,91.41
5300,4,92.99,93.76,93.91,93.07,93.94,93.53
5624,1,40.47,39.87,34.65,31.41,32.87,33.73
5624,2,67.33,68.92,71.87,66.11,64.21,63.08
5624,4,86.34,87.37,86.22,82.56,84.27,84.07
5981,1,81.81,82.84,84.68,90.37,87.88,89.35
5981,2,95.92,95.2,94.74,96.52,95.85,94.95
5981,4,96.15,96.1,95.93,96.42,96.43,96.8